{'loss': 1.6633, 'grad_norm': 1.06640625, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.05}
{'loss': 0.872, 'grad_norm': 0.6871370077133179, 'learning_rate': 8.888888888888889e-05, 'epoch': 0.09}
{'loss': 0.4702, 'grad_norm': 0.31118589639663696, 'learning_rate': 0.00013333333333333334, 'epoch': 0.14}
{'loss': 0.4099, 'grad_norm': 0.21458710730075836, 'learning_rate': 0.00017777777777777779, 'epoch': 0.19}
{'loss': 0.382, 'grad_norm': 0.22522728145122528, 'learning_rate': 0.00019999417253661235, 'epoch': 0.23}
{'loss': 0.3659, 'grad_norm': 0.22004972398281097, 'learning_rate': 0.00019994755690455152, 'epoch': 0.28}
{'loss': 0.3261, 'grad_norm': 0.22016413509845734, 'learning_rate': 0.0001998543473718677, 'epoch': 0.33}
{'loss': 0.3357, 'grad_norm': 0.1862945705652237, 'learning_rate': 0.00019971458739130598, 'epoch': 0.37}
{'loss': 0.3222, 'grad_norm': 0.20015214383602142, 'learning_rate': 0.0001995283421166614, 'epoch': 0.42}
{'loss': 0.3447, 'grad_norm': 0.20393860340118408, 'learning_rate': 0.00019929569837240564, 'epoch': 0.47}
{'loss': 0.3238, 'grad_norm': 0.2251206785440445, 'learning_rate': 0.00019901676461321068, 'epoch': 0.51}
{'loss': 0.3178, 'grad_norm': 0.23960961401462555, 'learning_rate': 0.00019869167087338907, 'epoch': 0.56}
{'loss': 0.3256, 'grad_norm': 0.22256024181842804, 'learning_rate': 0.00019832056870627417, 'epoch': 0.6}
{'loss': 0.3137, 'grad_norm': 0.2690812647342682, 'learning_rate': 0.00019790363111356837, 'epoch': 0.65}
{'loss': 0.3002, 'grad_norm': 0.19026988744735718, 'learning_rate': 0.00019744105246469263, 'epoch': 0.7}
{'loss': 0.293, 'grad_norm': 0.21724030375480652, 'learning_rate': 0.00019693304840617457, 'epoch': 0.74}
{'loss': 0.3048, 'grad_norm': 0.22315411269664764, 'learning_rate': 0.00019637985576111778, 'epoch': 0.79}
{'loss': 0.2987, 'grad_norm': 0.22409182786941528, 'learning_rate': 0.00019578173241879872, 'epoch': 0.84}
