{'loss': 1.7531, 'grad_norm': 1.1431277990341187, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.05}
{'loss': 0.9338, 'grad_norm': 0.7268816232681274, 'learning_rate': 8.888888888888889e-05, 'epoch': 0.09}
{'loss': 0.5182, 'grad_norm': 0.31581881642341614, 'learning_rate': 0.00013333333333333334, 'epoch': 0.14}
{'loss': 0.45, 'grad_norm': 0.25639116764068604, 'learning_rate': 0.00017777777777777779, 'epoch': 0.19}
{'loss': 0.4216, 'grad_norm': 0.23394964635372162, 'learning_rate': 0.00019999417253661235, 'epoch': 0.23}
{'loss': 0.3962, 'grad_norm': 0.25421544909477234, 'learning_rate': 0.00019994755690455152, 'epoch': 0.28}
{'loss': 0.3557, 'grad_norm': 0.2435087263584137, 'learning_rate': 0.0001998543473718677, 'epoch': 0.33}
{'loss': 0.3684, 'grad_norm': 0.21189534664154053, 'learning_rate': 0.00019971458739130598, 'epoch': 0.37}
{'loss': 0.3496, 'grad_norm': 0.22264574468135834, 'learning_rate': 0.0001995283421166614, 'epoch': 0.42}
{'loss': 0.3742, 'grad_norm': 0.2380588799715042, 'learning_rate': 0.00019929569837240564, 'epoch': 0.47}
{'loss': 0.3526, 'grad_norm': 0.25015366077423096, 'learning_rate': 0.00019901676461321068, 'epoch': 0.51}
{'loss': 0.3487, 'grad_norm': 0.2616114914417267, 'learning_rate': 0.00019869167087338907, 'epoch': 0.56}
{'loss': 0.359, 'grad_norm': 0.25903233885765076, 'learning_rate': 0.00019832056870627417, 'epoch': 0.6}
{'loss': 0.3448, 'grad_norm': 0.2677159011363983, 'learning_rate': 0.00019790363111356837, 'epoch': 0.65}
{'loss': 0.3251, 'grad_norm': 0.20616024732589722, 'learning_rate': 0.00019744105246469263, 'epoch': 0.7}
{'loss': 0.3194, 'grad_norm': 0.23328272998332977, 'learning_rate': 0.00019693304840617457, 'epoch': 0.74}
{'loss': 0.3342, 'grad_norm': 0.2368781715631485, 'learning_rate': 0.00019637985576111778, 'epoch': 0.79}
{'loss': 0.3247, 'grad_norm': 0.233147531747818, 'learning_rate': 0.00019578173241879872, 'epoch': 0.84}
{'loss': 0.3103, 'grad_norm': 0.2580159306526184, 'learning_rate': 0.00019513895721444286, 'epoch': 0.88}
{'loss': 0.335, 'grad_norm': 0.2326267957687378, 'learning_rate': 0.00019445182979923654, 'epoch': 0.93}
{'loss': 0.3109, 'grad_norm': 0.22941185534000397, 'learning_rate': 0.00019372067050063438, 'epoch': 0.98}
{'loss': 0.3174, 'grad_norm': 0.23216377198696136, 'learning_rate': 0.00019294582017302797, 'epoch': 1.02}
{'loss': 0.3007, 'grad_norm': 0.24514111876487732, 'learning_rate': 0.0001921276400388451, 'epoch': 1.07}
{'loss': 0.2891, 'grad_norm': 0.24248799681663513, 'learning_rate': 0.00019126651152015403, 'epoch': 1.12}
{'loss': 0.2775, 'grad_norm': 0.3004473149776459, 'learning_rate': 0.00019036283606085053, 'epoch': 1.16}
{'loss': 0.2772, 'grad_norm': 0.27715322375297546, 'learning_rate': 0.00018941703493951164, 'epoch': 1.21}
{'loss': 0.296, 'grad_norm': 0.24499565362930298, 'learning_rate': 0.00018842954907300236, 'epoch': 1.26}
{'loss': 0.2837, 'grad_norm': 0.26687222719192505, 'learning_rate': 0.0001874008388109276, 'epoch': 1.3}
{'loss': 0.2595, 'grad_norm': 0.3009028136730194, 'learning_rate': 0.00018633138372102468, 'epoch': 1.35}
{'loss': 0.2686, 'grad_norm': 0.26964396238327026, 'learning_rate': 0.00018522168236559695, 'epoch': 1.4}
{'loss': 0.2834, 'grad_norm': 0.24697665870189667, 'learning_rate': 0.00018407225206909208, 'epoch': 1.44}
{'loss': 0.2751, 'grad_norm': 0.2573308050632477, 'learning_rate': 0.00018288362867693414, 'epoch': 1.49}
{'loss': 0.2779, 'grad_norm': 0.2504056692123413, 'learning_rate': 0.0001816563663057211, 'epoch': 1.54}
{'loss': 0.2875, 'grad_norm': 0.2646283209323883, 'learning_rate': 0.000180391037084905, 'epoch': 1.58}
{'loss': 0.272, 'grad_norm': 0.3746722340583801, 'learning_rate': 0.00017908823089007457, 'epoch': 1.63}
{'loss': 0.2757, 'grad_norm': 0.24675790965557098, 'learning_rate': 0.00017774855506796496, 'epoch': 1.67}
{'loss': 0.2895, 'grad_norm': 0.2996404767036438, 'learning_rate': 0.0001763726341533227, 'epoch': 1.72}
{'loss': 0.2586, 'grad_norm': 0.2680198848247528, 'learning_rate': 0.0001749611095777581, 'epoch': 1.77}
{'loss': 0.2826, 'grad_norm': 0.26007699966430664, 'learning_rate': 0.00017351463937072004, 'epoch': 1.81}
{'loss': 0.2642, 'grad_norm': 0.2623290419578552, 'learning_rate': 0.000172033897852734, 'epoch': 1.86}
{'loss': 0.2643, 'grad_norm': 0.27188771963119507, 'learning_rate': 0.0001705195753210446, 'epoch': 1.91}
{'loss': 0.2591, 'grad_norm': 0.224082812666893, 'learning_rate': 0.00016897237772781044, 'epoch': 1.95}
{'loss': 0.2704, 'grad_norm': 0.2798996567726135, 'learning_rate': 0.00016739302635100108, 'epoch': 2.0}
